"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3020000","2008302009507500002","19870213","","01","영업/정상","1","정상영업","","","","","02-3786-6352","4845.26","140200","서울특별시 용산구 이태원동 119번지 25호","서울특별시 용산구 이태원로 179 (이태원동)","","해밀톤 쇼핑몰","2018-09-28 14:56:53","U","2018-09-28 23:59:59.0","쇼핑센터","199363.595799729    ","448050.926289223    ","대규모점포"
"3020000","2008302009507500003","19871031","","01","영업/정상","1","정상영업","","","","","02  707 4628","62555.57","140013","서울특별시 용산구 한강로3가 16번지 9호","서울특별시 용산구 청파로 74 (한강로3가)","","(주)에스와이에스홀딩스","2014-10-24 10:25:20","I","2018-08-31 23:59:59.0","전문점","196370.746398773    ","447841.698787531    ","대규모점포"
"3070000","2008307013407500001","20080620","","01","영업/정상","1","정상영업","","","","","915-4230","3583","136143","서울특별시 성북구 장위동 60번지 1호","","","삼익아파트상가","2008-06-20 19:07:12","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205020.608686581    ","456783.766604012    ",""
"3020000","2008302009507500005","19880623","","01","영업/정상","1","정상영업","","","","","02)702-3411","8382.6","140113","서울특별시 용산구 원효로3가 51번지 30호","서울특별시 용산구 청파로 77 (원효로3가)","140849","원효전자상가","2013-03-21 09:39:21","I","2018-08-31 23:59:59.0","전문점","196385.232032928    ","447938.19246116     ","대규모점포"
"3020000","2008302009507500006","19851112","","01","영업/정상","1","정상영업","","","","","02)795-7501","3327.67","140026","서울특별시 용산구 용산동6가 69번지 167호","서울특별시 용산구 이촌로 352 (용산동6가)","","신동아 쇼핑센터","2008-04-29 21:27:56","I","2018-08-31 23:59:59.0","쇼핑센터","198622.89264988     ","446114.155238838    ",""
"3020000","2005302007407500001","19930413","","01","영업/정상","1","정상영업","","","","","7037091","10634.18","","서울특별시 용산구 한강로2가 413호","서울특별시 용산구 청파로 113-12 (한강로2가)","","전자타운","2014-10-24 10:37:15","I","2018-08-31 23:59:59.0","전문점","196775.639878418    ","447984.6345458      ","대규모점포"
"3020000","2006302007407500001","19600217","","01","영업/정상","1","정상영업","","","","","02  794 5682","574","","서울특별시 용산구 이태원동 56번지 9호","서울특별시 용산구 이태원로14길 6 (이태원동)","","이태원시장","2012-03-30 14:02:23","I","2018-08-31 23:59:59.0","시장","199051.158829761    ","447953.601666521    ","대규모점포"
"3020000","2020302015007500001","20200813","","01","영업/정상","1","정상영업","","","","","02-2689-0035","8500.52","","서울특별시 용산구 한강로3가 2-8","서울특별시 용산구 청파로 100, 12동 2층 (한강로3가)","04372","(주)서부티엔디","2020-08-13 09:12:59","I","2020-08-15 00:23:13.0","전문점","196605.511573689    ","447841.270074498    ","대규모점포"
"3020000","2012302009507500001","2012-03-13","","01","영업/정상","1","정상영업","","","","","0220772800","3271","140-012","서울특별시 용산구 한강로2가 15번지 19호","서울특별시 용산구 청파로 122 (한강로2가)","140-012","(주)농협유통하나로클럽용산점","2023-04-28 10:37:58","U","2022-12-03 21:00:00.0","대형마트","196813.258497258","447881.970772064",""
"3020000","2014302009507500003","20140805","","03","폐업","3","폐업처리","20180612","","","","02-796-8331","106","","","서울특별시 용산구 한강대로 205 (한강로1가)","140752","롯데마켓999 용산파크자이가맹점","2018-06-12 11:32:44","I","2018-08-31 23:59:59.0","구분없음","197514.145785647    ","448264.322314594    ","준대규모점포"
"3020000","1970302007407500005","19701130","","03","폐업","3","폐업처리","20120802","","","","027980401","4858.45","","서울특별시 용산구 이촌동 300번지 27  호","서울특별시 용산구 이촌로 224 (이촌동)","","한강상가","2012-08-02 14:23:00","I","2018-08-31 23:59:59.0","시장","197450.277644237    ","446437.197878548    ","대규모점포"
"3020000","2001302007407500001","20010524","","03","폐업","3","폐업처리","20131220","","","","02  704 5858","14561.78","","서울특별시 용산구 한강로3가 40번지 969호","서울특별시 용산구 청파로20길 83 (한강로3가)","140745","터미널전자상가","2013-12-20 16:12:19","I","2018-08-31 23:59:59.0","전문점","196610.663839509    ","447742.348636253    ","대규모점포"
"3020000","2001302007407500002","20010804","","03","폐업","3","폐업처리","20140402","","","","02)718-9555","3386","","서울특별시 용산구 산천동 202호","서울특별시 용산구 원효로 51 (산천동)","","삼성테마트","2014-04-03 09:51:54","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","195547.140326252    ","447976.775939762    ","대규모점포"
"3030000","2014303010307500001","20141209","","01","영업/정상","1","정상영업","","","","","2207-9991, 6454-6301","13996.64","","","서울특별시 성동구 왕십리로 241 (행당동)","133866","파크에비뉴 엔터식스 한양대점","2019-09-20 17:52:31","U","2019-09-22 02:40:00.0","복합쇼핑몰","203523              ","450411              ","대규모점포"
"3030000","2011303010307500002","20110705","","01","영업/정상","1","정상영업","","","","20110705","22135635","0","133170","서울특별시 성동구 용답동 49번지 5호","","","성동용답상가시장","2012-06-08 14:55:42","I","2018-08-31 23:59:59.0","시장","204566.046414287    ","451260.933119786    ","대규모점포"
"3240000","2005324011907500004","20050720","","02","휴업","2","휴업처리","","","","","02  485 9001","3223.68","","서울특별시 강동구 천호동 563호   ","","","동아코아","2007-06-30 10:04:31","I","2018-08-31 23:59:59.0","쇼핑센터","211055.486155787    ","448786.697371515    ",""
"3020000","2006302007407500004","20060825","","01","영업/정상","1","정상영업","","","","","02)2012-0101","17898.53","","서울특별시 용산구 한강로3가 40번지 999호","서울특별시 용산구 한강대로23길 55 (한강로3가)","140780","아이파크(I PARK)백화점","2022-08-11 09:34:48","U","2021-12-07 23:03:00.0","백화점","196762.077394917","447480.039577359",""
"3150000","2012315014507500005","2012-03-29","","01","영업/정상","1","정상영업","","","","","000220645601","461.2","157-703","서울특별시 강서구 내발산동 719번지 6호","서울특별시 강서구 강서로 267 (내발산동)","157-280","롯데쇼핑(주)롯데슈퍼 우장산점","2023-05-15 14:02:02","U","2022-12-04 23:07:00.0","그 밖의 대규모점포","185431.066605778","449714.813765198",""
"3150000","2012315014507500006","2012-03-29","","01","영업/정상","1","정상영업","","","","","000226635601","847.4","157-846","서울특별시 강서구 방화1동 187번지 1호","서울특별시 강서구 방화대로34길 83 (방화동)","157-846","롯데쇼핑(주)롯데슈퍼 방화점","2023-05-15 14:01:28","U","2022-12-04 23:07:00.0","그 밖의 대규모점포","184102.782470646","452097.370050563",""
"3050000","2014305014007500001","2008-08-06","","01","영업/정상","1","정상영업","","","","","2238-2600","2448","130-813","서울특별시 동대문구 신설동 109번지 5호","서울특별시 동대문구 천호대로4길 21 (신설동)","130-813","서울풍물시장","2024-01-19 17:46:11","U","2023-11-30 22:01:00.0","그 밖의 대규모점포","202186.468072494","452282.607415166",""
"3210000","2015321015507500001","20150203","","01","영업/정상","1","정상영업","","","","","02-2145-8000","12066.12","","서울특별시 서초구 서초동 1498번지 5호  (영업장 지하1층,지하2층)","","","롯데쇼핑(주) 롯데마트 서초점","2022-05-02 16:30:13","U","2021-12-05 00:04:00.0","대형마트","200438.992861987","443124.594422616",""
"3020000","2010302009507500001","1985-11-12","","01","영업/정상","1","정상영업","","","","","709-7501","7470.17","","서울특별시 용산구 용산동6가 69-167 신동아쇼핑","서울특별시 용산구 이촌로 352, 신동아쇼핑 (용산동6가)","04428","신동아쇼핑센터","2024-02-05 09:28:30","U","2023-12-02 00:07:00.0","복합쇼핑몰","198622.89264988","446114.155238838",""
"3220000","2001322008307500029","20000616","","01","영업/정상","1","정상영업","","","","","02 5312902","26532","","서울특별시 강남구 대치동 937호","서울특별시 강남구 도곡로 401 (대치동)","135704","롯데백화점(강남점)","2022-05-04 16:04:56","U","2021-12-05 00:07:00.0","백화점","204669.543366778","443873.621189048",""
"3020000","2006302007407500002","19871126","","01","영업/정상","1","정상영업","","","","","02)718-7113","37901.41","","서울특별시 용산구 한강로2가 15번지 14호","서울특별시 용산구 새창로 181 (한강로2가, 선인상가)","04371","선인상가","2022-10-07 14:43:20","U","2021-10-31 00:09:00.0","전문점","196839.641743356","447863.232025192",""
"3030000","2012303010307500001","20120214","","01","영업/정상","1","정상영업","","","","","3459-8000","264.3","133858","서울특별시 성동구 왕십리2동 966번지 11호","서울특별시 성동구 왕십리로 333 (하왕십리동)","133020","홈플러스(주) 익스프레스 왕십리점","2021-02-15 10:25:21","U","2021-02-17 02:40:00.0","구분없음","202806.018487131    ","451160.356013436    ","준대규모점포"
"3030000","1962303010307500001","19620121","","01","영업/정상","1","정상영업","","","","","02  22525302","1156","133805","서울특별시 성동구 금호동3가 332번지","서울특별시 성동구 독서당로 303-11 (금호동3가)","133805","금남시장","2021-01-04 13:45:52","U","2021-01-06 02:40:00.0","시장","201939.255278432    ","449589.21383235     ","대규모점포"
"3030000","1980303010307500005","19800905","","01","영업/정상","1","정상영업","","","","","02-2210-4100","0","","서울특별시 성동구 용답동 234번지 한국자동차매매센터","서울특별시 성동구 자동차시장1길 70 (용답동, 장안평중고자동차시장)","04808","자동차매매센타","2019-04-30 17:44:20","U","2019-05-02 02:40:00.0","전문점","205784.868811814    ","450883.524006222    ","대규모점포"
"3030000","2012303010307500004","2012-03-22","","03","폐업","3","폐업처리","2023-03-27","","","","02-499-8545","409.9","133-111","서울특별시 성동구 성수1가1동 14번지 17호","서울특별시 성동구 아차산로 41 (성수동1가)","133-111","홈플러스(주)익스프레스 뚝섬점","2023-03-28 17:26:48","U","2022-12-02 21:00:00.0","구분없음","204257.584861091","449412.544118545",""
"3030000","2008303010307500001","2008-06-27","","01","영업/정상","1","정상영업","","","","","02  22001234","11573","133-071","서울특별시 성동구 행당동 168번지 1호","서울특별시 성동구 왕십리광장로 17 (행당동)","133-866","(주)이마트 왕십리점","2023-07-04 14:55:45","U","2022-12-07 00:06:00.0","대형마트","203292.151783332","451267.730992123",""
"3030000","2021303010307500001","2013-02-19","","03","폐업","3","폐업처리","2023-08-18","","","","02-2253-8541","143.55","","서울특별시 성동구 성수동1가 656-1208 성수만세주유소","서울특별시 성동구 왕십리로 109, 성수만세주유소 (성수동1가)","04768","홈플러스익스프레스 뚝섬2점","2023-08-18 16:32:14","U","2022-12-07 22:00:00.0","구분없음","203841.225547969","449475.540141228",""
"3030000","1998303010307500001","19980803","","01","영업/정상","1","정상영업","","","","","02)2297-6205","4049.55","","서울특별시 성동구 행당동 347번지 행당동 대림아파트","서울특별시 성동구 행당로 87, 행당동 대림아파트 (행당동)","04713","대림리빙프라자","2018-10-02 16:57:38","U","2018-10-04 02:37:24.0","그 밖의 대규모점포","202326.503044305    ","450625.58422744     ","대규모점포"
"3030000","2005303007407500005","19681207","","01","영업/정상","1","정상영업","","","","","02-464-2095","3225","133120","서울특별시 성동구 성수동2가 289번지 4호","서울특별시 성동구 아차산로7길 28 (성수동2가)","","(주)인트램","2018-10-02 11:31:11","U","2018-10-04 02:37:24.0","그 밖의 대규모점포","204830.977323063    ","449477.448459906    ","대규모점포"
"3030000","2006303010307500001","20060320","","01","영업/정상","1","정상영업","","","","","2281-4446","25910","133050","서울특별시 성동구 마장동 510번지 3호 일대","서울특별시 성동구 마장로31길 40 (마장동,일대)","","마장축산물시장","2017-07-31 10:28:52","I","2018-08-31 23:59:59.0","시장","203323.787758273    ","451940.205444395    ",""
"3030000","2007303010307500001","20070323","","01","영업/정상","1","정상영업","","","","","3395-9336","7717.09","133040","서울특별시 성동구 왕십리도선동 69번지","서울특별시 성동구 무학로6길 50 (도선동)","","성동삼성쉐르빌상가","2014-10-12 17:05:12","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","203017.021457357    ","451346.281102634    ","대규모점포"
"3030000","1982303010307500001","1982-10-16","","01","영업/정상","1","정상영업","","","","","2297-2484","0","","서울특별시 성동구 옥수동 220번지 1호 한남하이츠아파트","서울특별시 성동구 독서당로 160, 한남하이츠아파트 (옥수동)","04736","한남하이츠상가","2023-12-07 15:08:50","U","2022-11-02 00:09:00.0","구분없음","201181.598996876","448609.588125745",""
"3030000","2000303010307500001","2000-03-31","","01","영업/정상","1","정상영업","","","","","02)2281-7003","5873.69","","서울특별시 성동구 행당동 346번지 행당 한진타운 종합상가","서울특별시 성동구 행당로 84, 행당 한진타운 종합상가 (행당동)","04717","한진종합상가","2024-01-22 16:10:33","U","2023-11-30 22:04:00.0","그 밖의 대규모점포","202511.142930696","450401.303715561",""
"3030000","2008303010307500003","20080828","","01","영업/정상","1","정상영업","","","","","02-2200-6000","7960","","서울특별시 성동구 행당동 168번지 151호 왕십리민자역사","서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 (행당동)","04750","ENTER-6","2021-12-01 14:07:47","U","2021-12-03 02:40:00.0","그 밖의 대규모점포","203321.562330114    ","451001.868687869    ","대규모점포"
"3030000","2012303010307500002","20120224","","01","영업/정상","1","정상영업","","","","","2253-8542","578.96","133807","서울특별시 성동구 금호동3가 1331번지","서울특별시 성동구 동호로 100 (금호동3가)","133751","홈플러스(주) 익프스레스 금호2점","2021-02-15 10:23:01","U","2021-02-17 02:40:00.0","구분없음","201383.023709556    ","449744.280482389    ","준대규모점포"
"3030000","2012303010307500003","20120321","","01","영업/정상","1","정상영업","","","","","02-2292-8545","293.34","133091","서울특별시 성동구 금호동1가 481번지 5호","서울특별시 성동구 행당로 6 (금호동1가)","133091","홈플러스(주) 익스프레스 금호점","2021-02-15 10:12:39","U","2021-02-17 02:40:00.0","구분없음","201772.807083568    ","450250.366445197    ","준대규모점포"
"3030000","2018303010307500001","20180228","","01","영업/정상","1","정상영업","","","","","02-380-9842","0","","서울특별시 성동구 행당동 155번지 1호 서울숲 더샵","서울특별시 성동구 왕십리로 241 (행당동, 서울숲 더샵)","04765","노브랜드 엔터식스한양대점","2018-10-02 17:36:14","I","2018-10-04 02:37:24.0","구분없음","203477.905432913    ","450542.454417279    ","준대규모점포"
"3110000","2001311008807500006","19661207","","03","폐업","3","폐업처리","20170404","","","","1111111","0","","서울특별시 은평구 응암동 74번지 7 호","","","녹번시장","2017-04-05 10:58:55","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","193792.984914301    ","455370.61376951     ","대규모점포"
"3050000","2011305014007500003","20110907","","01","영업/정상","1","정상영업","","","","","02-2242-5611","769.5","130835","서울특별시 동대문구 장안동 94번지 27호 외1필지 예신프라자","서울특별시 동대문구 한천로46길 42 (장안동)","130835","롯데쇼핑(주) 롯데슈퍼 장안점","2022-05-07 15:41:12","U","2021-12-04 23:00:00.0","구분없음","206176.178625746","453248.09724644",""
"3050000","2011305014007500002","20110907","","01","영업/정상","1","정상영업","","","","","02-2248-7800","1701.2","130020","서울특별시 동대문구 전농동 10번지 외7필지 전농sk아파트 주상가동","서울특별시 동대문구 사가정로 148 (전농동, SK아파트)","130769","롯데쇼핑(주) 롯데슈퍼 전농점","2022-05-07 15:43:01","U","2021-12-04 23:00:00.0","구분없음","205271.704936121","452706.897879436",""
"3160000","2007316011707500009","20051117","","01","영업/정상","1","정상영업","","","","","000220935072","13043.88","152080","서울특별시 구로구 고척동 76번지 41호","서울특별시 구로구 중앙로1길 36 (고척동)","","이천일 아울렛 구로점","2022-12-09 09:46:01","U","2021-11-01 23:01:00.0","그 밖의 대규모점포","187785.840457798","443997.135869884",""
"3050000","2010305010007500002","20100811","","01","영업/정상","1","정상영업","","","","","02-3706-4710","10910.6","130851","서울특별시 동대문구 전농1동 591번지 53호","서울특별시 동대문구 왕산로 214 (전농동)","130851","롯데쇼핑(주)롯데마트 청량리점","2022-10-20 10:20:29","U","2021-10-30 22:02:00.0","대형마트","204081.282117393","453187.395154017",""
"3030000","2011303010307500001","20111004","","03","폐업","3","폐업처리","20120504","","","","02","99","133819","서울특별시 성동구 성수1가1동 72번지 91호","서울특별시 성동구 뚝섬로 345 (성수동1가)","","홈플러스(주)익스프레스 성수점","2018-11-27 16:46:08","U","2018-11-29 02:40:00.0","구분없음","204271.515183693    ","448744.245842924    ","준대규모점포"
"3030000","1969303010307500001","19690109","","03","폐업","3","폐업처리","20151130","","","","2291-6754","0","133091","서울특별시 성동구 금호동1가 128번지 1호","서울특별시 성동구 행당로 35 (금호동1가)","","금북시장","2015-12-03 11:03:00","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202004.452300224    ","450411.463616996    ","대규모점포"
"3030000","1979303010307500006","19790810","","03","폐업","3","폐업처리","20080522","","","","2297-3811","0","133809","서울특별시 성동구 금호동4가 548번지 1호","서울특별시 성동구 독서당로 302 (금호동4가)","","금호종합시장","2012-05-10 10:10:00","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","201924.287403479    ","449505.43323776     ","대규모점포"
"3030000","2006303010307500002","20060824","","03","폐업","3","폐업처리","20110705","","","","2249-8957","0","133170","서울특별시 성동구 용답동 49번지 5호","","","용답동상가번영회","2011-12-09 10:04:47","I","2018-08-31 23:59:59.0","시장","204566.046414287    ","451260.933119786    ","대규모점포"
"3030000","2001303010307500002","20010913","20170308","04","취소/말소/만료/정지/중지","4","직권취소","","","","","463-7547~8","8495.01","133120","서울특별시 성동구 성수동2가 231번지 1호","","","성동마트","2017-03-08 15:17:20","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205260.827743854    ","448399.948660115    ","대규모점포"
"3040000","2001304007307500001","19701223","","01","영업/정상","1","정상영업","","","","","02-463-7521","1524.1","","서울특별시 광진구 자양동 44번지 2호","서울특별시 광진구 뚝섬로 491 (자양동)","143843","노룬산시장","2013-12-23 16:36:35","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205663.081069121    ","448250.363358949    ","대규모점포"
"3040000","2001304007307500002","19710501","","01","영업/정상","1","정상영업","","","","","02-463-5611","6426.48","","서울특별시 광진구 자양동 6번지 20호","서울특별시 광진구 아차산로30길 39 (자양동)","143841","조양시장","2017-12-08 10:38:45","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205886.288968009    ","448517.338628068    ","대규모점포"
"3040000","2001304007307500003","19710508","","01","영업/정상","1","정상영업","","","","","02-467-0254","2107.8","","서울특별시 광진구 중곡동 229번지 5호","서울특별시 광진구 긴고랑로11길 11 (중곡동)","143903","중곡제일시장","2012-01-04 17:05:26","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207114.498872176    ","451296.049443757    ","대규모점포"
"3040000","2008304010307500002","20080903","","01","영업/정상","1","정상영업","","","","","02-466-6767","3741.82","143150","서울특별시 광진구 군자동 503번지","서울특별시 광진구 광나루로 369 (군자동)","143840","파크에비뉴","2012-01-04 11:10:42","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206212.244268239    ","449577.174890763    ","대규모점포"
"3040000","2001304007307500006","19770131","","01","영업/정상","1","정상영업","","","","","02 4441707","1137.92","","서울특별시 광진구 중곡동 79번지 13호","서울특별시 광진구 영화사로 12 (중곡동)","143888","신성종합시장","2012-01-04 16:20:51","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207747.893953282    ","450639.201015458    ","대규모점포"
"3040000","2001304007307500008","19790716","","01","영업/정상","1","정상영업","","","","","02 4577480","2418.11","","서울특별시 광진구 자양동 602호","서울특별시 광진구 자양번영로6길 20 (자양동)","143865","자양종합시장","2014-07-23 19:01:51","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206686.364451141    ","447752.463189936    ","대규모점포"
"3040000","2001304007307500015","19980323","","01","영업/정상","1","정상영업","","","","","02-3424-0323","49840","","서울특별시 광진구 구의동 546번지 4호","서울특별시 광진구 광나루로56길 85 (구의동)","143721","테크노-마트21","2018-09-06 15:42:55","U","2018-09-06 23:59:59.0","그 밖의 대규모점포","208394.416382167    ","448165.279999905    ","대규모점포"
"3040000","2012304015507500001","20120306","","01","영업/정상","1","정상영업","","","","","024478545","274.4","143898","서울특별시 광진구 중곡2동 157번지 1호","서울특별시 광진구 능동로 314 (중곡동)","143898","홈플러스(주)익스프레스 중곡점","2022-09-28 15:12:44","U","2021-12-08 21:00:00.0","구분없음","207001.872308692","450597.61492646",""
"3040000","2011304015507500004","20111005","","01","영업/정상","1","정상영업","","","","","02-3437-8546","235.8","143888","서울특별시 광진구 중곡4동 93번지 2호","서울특별시 광진구 용마산로 10 (중곡동)","143888","홈플러스익스프레스 중곡2점","2022-09-28 15:13:40","U","2021-12-08 21:00:00.0","구분없음","207778.116493941","450250.255643789",""
"3040000","2006304007307500002","2006-12-14","","01","영업/정상","1","정상영업","","","","","0220241234","11320.4","","서울특별시 광진구 자양동 227번지 7호","서울특별시 광진구 아차산로 272 (자양동)","143-758","(주)이마트 자양점","2023-06-30 09:11:00","U","2022-12-07 00:02:00.0","대형마트","206349.675048285","448396.939704285",""
"3040000","2001304007307500009","1980-04-07","","01","영업/정상","1","정상영업","","","","","02-465-7965","2456.45","","서울특별시 광진구 화양동 10번지 1호","서울특별시 광진구 능동로13길 39 (화양동)","143-914","한아름시장","2023-11-17 10:04:22","U","2022-10-31 23:09:00.0","그 밖의 대규모점포","206107.775163579","449029.342177779",""
"3040000","2011304015507500003","20111004","","01","영업/정상","1","정상영업","","","","","02-469-1333","1162","143914","서울특별시 광진구 화양동 10번지 1호","서울특별시 광진구 능동로13길 39 (화양동)","143914","(주)지에스리테일GS수퍼 광진화양점","2022-09-28 15:13:51","U","2021-12-08 21:00:00.0","구분없음","206107.775163579","449029.342177779",""
"3040000","2006304007307500001","20060228","","01","영업/정상","1","정상영업","","","","","02-3436-0005","3004.13","","서울특별시 광진구 자양동 663번지 21  호","서울특별시 광진구 자양로5길 33 (자양동)","143873","프라젠 스파","2013-12-26 14:29:25","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207368.624495222    ","447632.296040333    ","대규모점포"
"3040000","2015304016807500001","20150403","","01","영업/정상","1","정상영업","","","","","3677-7281","4037.2","","서울특별시 광진구 자양동 17번지 1호","서울특별시 광진구 아차산로 200 (자양동)","05071","커먼그라운드","2016-11-28 11:17:58","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205758.816662193    ","448768.161400623    ","대규모점포"
"3040000","2001304007307500010","19800618","","01","영업/정상","1","정상영업","","","","","02-467-5200","2135.53","","서울특별시 광진구 중곡동 229번지 15호","서울특별시 광진구 능동로47길 30 (중곡동)","143903","광성시장","2012-01-04 14:42:00","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207098.994772766    ","451260.44574067     ","대규모점포"
"3040000","2001304007307500011","19890823","","01","영업/정상","1","정상영업","","","","","02--450-8832","3995.19","","서울특별시 광진구 구의동 546번지 1호","서울특별시 광진구 강변역로 50 (구의동)","143715","동서울터미널상가","2012-01-04 14:32:32","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208201.993320839    ","447967.299542306    ","대규모점포"
"3040000","2001304007307500012","19901117","","01","영업/정상","1","정상영업","","","","","02 4543916","3625.18","","서울특별시 광진구 광장동 484호","서울특별시 광진구 광나루로 635 (광장동)","143814","현대종합상가","2012-01-04 16:03:45","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208644.819209521    ","448711.725750126    ","대규모점포"
"3040000","2001304007307500013","19921105","","01","영업/정상","1","정상영업","","","","","02-454-7529","1707.82","","서울특별시 광진구 구의동 611호","서울특별시 광진구 광나루로56길 34 (구의동)","143832","구의현대종합상가","2021-08-19 10:13:30","U","2021-08-21 02:40:00.0","그 밖의 대규모점포","208403.746065593    ","448490.239179557    ","대규모점포"
"3050000","2003305008207500001","2003-10-23","","01","영업/정상","1","정상영업","","","","","0221738121","12010","130-817","서울특별시 동대문구 용두동 33번지 1호","서울특별시 동대문구 천호대로 133 (용두동)","130-817","홈플러스(주) 동대문점","2024-02-29 14:49:59","U","2023-12-03 00:03:00.0","대형마트","203356.957362754","452469.300221465",""
"3040000","2021304019007500001","2021-06-08","","01","영업/정상","1","정상영업","","","","","024578045","3208.98","","서울특별시 광진구 구의동 66-25","서울특별시 광진구 광나루로39길 11 (구의동)","04977","구의 자이르네 판매시설","2023-12-12 17:26:18","U","2022-11-01 23:04:00.0","그 밖의 대규모점포","207775.86513205","449252.386906411",""
"3040000","2001304007307500014","19970130","","01","영업/정상","1","정상영업","","","","","02-3437-2572","5880.92","","서울특별시 광진구 구의동 631번지 1호","서울특별시 광진구 광나루로56길 63 (구의동)","143761","프라임프라자상가","2012-01-04 15:34:45","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208558.286631653    ","448353.905156369    ","대규모점포"
"3040000","2001304007307500004","19740209","","03","폐업","3","폐업처리","20210127","","","","02-457-8045","2529.91","","서울특별시 광진구 구의동 66번지 28호","서울특별시 광진구 광나루로 531-5 (구의동)","143819","구의시장","2021-01-29 18:09:26","U","2021-01-31 02:40:00.0","그 밖의 대규모점포","207754.575203142    ","449270.23146706     ","대규모점포"
"3040000","2001304007307500007","19790709","","03","폐업","3","폐업처리","20111229","","","","02-454-0365","4422","","서울특별시 광진구 광장동 145번지 8호","서울특별시 광진구 아차산로 635 (광장동)","143752","워커힐상가","2012-01-04 16:12:30","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","209345.941766315    ","449811.718207794    ","대규모점포"
"3040000","2012304015507500004","20120329","","01","영업/정상","1","정상영업","","","","","02-458-8545","232.07","143822","서울특별시 광진구 구의3동 212번지 2호","서울특별시 광진구 아차산로 473 (구의동)","143822","홈플러스익스프레스 구의2점","2022-09-28 15:12:01","U","2021-12-08 21:00:00.0","구분없음","208261.748825555","448701.658478751",""
"3050000","2011305010007500001","20110315","","01","영업/정상","1","정상영업","","","","","02-840-3210","5746.45","130100","서울특별시 동대문구 장안동 580번지","서울특별시 동대문구 한천로 42 (장안동)","130100","장안위더스빌","2014-10-29 16:21:25","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205423.969491537    ","451556.210578255    ","대규모점포"
"3050000","2011305014007500001","20210826","","01","영업/정상","1","정상영업","","","","","02-959-1234","2260.6","130080","서울특별시 동대문구 이문동 292번지 10호","서울특별시 동대문구 이문로 136 (이문동)","130826","(주)이마트에브리데이 이문점","2021-12-06 12:02:14","U","2021-12-08 02:40:00.0","구분없음","205396.363734301    ","455131.683241064    ","준대규모점포"
"3050000","2007305010007500002","20070509","","01","영업/정상","1","정상영업","","","","","02 9070135","13762.35","130864","서울특별시 동대문구 제기동 1140번지 5호","서울특별시 동대문구 왕산로 117 (제기동)","130864","불로장생타워","2022-02-18 16:30:15","U","2022-02-22 02:40:00.0","전문점","203155.504921512    ","452914.607542858    ","대규모점포"
"3050000","2007305010007500003","20060424","","01","영업/정상","1","정상영업","","","","","3299-4700","6986.87","130723","서울특별시 동대문구 용두동 787번지 동의보감타워","","","건강백화점 동의보감","2014-10-29 14:53:02","I","2018-08-31 23:59:59.0","전문점","203258.377206168    ","452834.064124525    ","대규모점포"
"3050000","2009305010007500001","20090320","","01","영업/정상","1","정상영업","","","","","957-9090","8286.24","130081","서울특별시 동대문구 이문1동 292번지 10호 (주)이문종합상가 이문동웰츠타워","","","대규모점포 개설등록","2009-03-20 17:54:01","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205396.363734301    ","455131.683241064    ",""
"3050000","2000305008207500012","19750905","","01","영업/정상","1","정상영업","","","","","0222453026","809","","서울특별시 동대문구 장안동 108-5","서울특별시 동대문구 한천로 190(장안동)","02525","전곡시장","2021-12-04 15:29:22","U","2021-12-07 02:40:00.0","시장","205987.345607556    ","452845.284277717    ","대규모점포"
"3050000","2000305008207500014","19740711","","01","영업/정상","1","정상영업","","","","","02-966-6966","2178","","서울특별시 동대문구 휘경동 151-3","서울특별시 동대문구 휘경로 53(휘경동)","02428","이경시장","2021-12-04 15:35:20","U","2021-12-07 02:40:00.0","시장","204881.313219146    ","454280.040555974    ","대규모점포"
